participant,gender,age,language,logical_training,trial_type,card_type,guess_type,card,guess,response,aim,comments,response_type,order,duration
anon15,female,25,english,Yes,X_XorY,X,XorY,dog,catordog,right,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_XandY,X,XandY,cat,catanddog,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,X_XandY,X,XandY,ele,catandele,wrong,unsure,no,ternary,NA,NA
anon15,female,25,english,Yes,XY_Z,XY,Z,dogele,cat,wrong,unsure,no,ternary,NA,NA
anon17,female,30,English,No,X_XorY,X,XorY,dog,catordog,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_Z,X,Z,cat,ele,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_X,X,X,ele,ele,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_XorY,XY,XorY,dogele,dogorele,neiter,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_XandY,X,XandY,ele,dogandele,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_XorY,X,XorY,ele,dogorele,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_XorY,XY,XorY,catdog,catordog,neiter,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_XandY,XY,XandY,dogele,dogandele,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_Z,X,Z,ele,dog,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_X,XY,X,catele,cat,right,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,XY_XorY,XY,XorY,catele,catorele,neiter,To interpret how we interpreted language,NA,ternary,NA,NA
anon17,female,30,English,No,X_XandY,X,XandY,cat,catandele,wrong,To interpret how we interpreted language,NA,ternary,NA,NA
