"","participant","order","gender","age","language","trial_type","response_type","guess_type","guess","card_type","card","logical_training","response","duration","aim","comments"
"152","anon14",8,"male","25","English","XY_X","true-false","X","cat","XY","CATELE","No","True",3544,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"153","anon14",9,"male","25","English","XY_XandY","true-false","XandY","catandele","XY","CATELE","No","True",3249,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"154","anon14",10,"male","25","English","X_XorY","true-false","XorY","dogorele","X","DOG","No","True",3793,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"155","anon14",11,"male","25","English","XY_X","true-false","X","cat","XY","CATDOG","No","True",13402,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"156","anon14",12,"male","25","English","X_XorY","true-false","XorY","catordog","X","CAT","No","True",2280,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"157","anon14",13,"male","25","English","X_XandY","true-false","XandY","catandele","X","CAT","No","False",14225,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"158","anon14",14,"male","25","English","X_Z","true-false","Z","ele","X","CAT","No","False",2081,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"159","anon14",15,"male","25","English","X_XandY","true-false","XandY","catanddog","X","DOG","No","False",183089,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"160","anon14",16,"male","25","English","XY_Z","true-false","Z","cat","XY","DOGELE","No","False",1823,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"161","anon14",17,"male","25","English","XY_Z","true-false","Z","ele","XY","CATDOG","No","False",4088,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"162","anon14",18,"male","25","English","XY_X","true-false","X","dog","XY","DOGELE","No","True",1897,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"163","anon14",19,"male","25","English","X_XandY","true-false","XandY","dogandele","X","DOG","No","False",2017,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"164","anon14",20,"male","25","English","XY_XorY","true-false","XorY","dogorele","XY","DOGELE","No","False",3432,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"165","anon14",21,"male","25","English","X_X","true-false","X","dog","X","DOG","No","True",1424,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"166","anon14",22,"male","25","English","XY_XorY","true-false","XorY","catordog","XY","CATDOG","No","False",2833,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"167","anon14",23,"male","25","English","XY_XandY","true-false","XandY","catanddog","XY","CATDOG","No","True",1546,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"168","anon14",24,"male","25","English","X_X","true-false","X","ele","X","ELE","No","True",1344,"To see how we view the wording of a sentence and would respond (or, and, etc)","No issues. Thank you! Quick and easy!"
"169","anon15",1,"male","49","English","X_Z","true-false","Z","ele","X","DOG","No","False",4119,"To see how people would interpret the questions. ","No problems. Thank you. "
"170","anon15",2,"male","49","English","XY_X","true-false","X","ele","XY","DOGELE","No","True",4801,"To see how people would interpret the questions. ","No problems. Thank you. "
"171","anon15",3,"male","49","English","X_XandY","true-false","XandY","catandele","X","ELE","No","False",3952,"To see how people would interpret the questions. ","No problems. Thank you. "
"172","anon15",4,"male","49","English","X_XorY","true-false","XorY","catorele","X","CAT","No","True",3862,"To see how people would interpret the questions. ","No problems. Thank you. "
"173","anon15",5,"male","49","English","X_X","true-false","X","ele","X","ELE","No","True",2473,"To see how people would interpret the questions. ","No problems. Thank you. "
"174","anon15",6,"male","49","English","X_Z","true-false","Z","dog","X","ELE","No","False",1981,"To see how people would interpret the questions. ","No problems. Thank you. "
"175","anon15",7,"male","49","English","X_X","true-false","X","cat","X","CAT","No","True",1948,"To see how people would interpret the questions. ","No problems. Thank you. "
"176","anon15",8,"male","49","English","XY_XandY","true-false","XandY","catanddog","XY","CATDOG","No","True",4501,"To see how people would interpret the questions. ","No problems. Thank you. "
"177","anon15",9,"male","49","English","XY_XandY","true-false","XandY","dogandele","XY","DOGELE","No","True",2484,"To see how people would interpret the questions. ","No problems. Thank you. "
"178","anon15",10,"male","49","English","XY_X","true-false","X","cat","XY","CATELE","No","True",3488,"To see how people would interpret the questions. ","No problems. Thank you. "
"179","anon15",11,"male","49","English","XY_Z","true-false","Z","cat","XY","DOGELE","No","False",2360,"To see how people would interpret the questions. ","No problems. Thank you. "
