participant,gender,age,language,logical_training,card_type,guess_type,card,guess,response,aim,comments,type
anon20,male,46,English,No,XY,X,catdog,cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,X,dog,dog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,Z,dog,ele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,Z,catdog,ele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,X,cat,cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,Z,cat,dog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,Z,dog,cat,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,X,XorY,dog,dogorele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon20,male,46,English,No,XY,XorY,catele,catorele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
anon21,male,23,English,No,XY,X,catdog,cat,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,X,ele,ele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,Z,dogele,cat,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XorY,catele,catorele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XorY,dog,dogorele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,Z,ele,cat,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,X,catele,ele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,Z,catele,dog,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XorY,catdog,catordog,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,Z,dog,cat,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XandY,dogele,dogandele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XorY,dogele,dogorele,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XorY,ele,catorele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,Z,cat,dog,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XandY,catele,catandele,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XorY,dog,catordog,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XandY,cat,catanddog,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,X,dogele,ele,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,X,cat,cat,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XandY,cat,catandele,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,XandY,ele,dogandele,0,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,X,X,dog,dog,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,XandY,catdog,catanddog,1,The goal was to see if you can follow directions using a game. ,,binary
anon21,male,23,English,No,XY,Z,catdog,ele,0,The goal was to see if you can follow directions using a game. ,,binary
anon22,male,27,english,No,X,XandY,cat,catandele,0,not sure,,binary
anon22,male,27,english,No,XY,XandY,catele,catandele,1,not sure,,binary
anon22,male,27,english,No,X,Z,ele,dog,0,not sure,,binary
anon22,male,27,english,No,X,XandY,cat,catanddog,0,not sure,,binary
anon22,male,27,english,No,XY,X,dogele,ele,1,not sure,,binary
anon22,male,27,english,No,X,Z,ele,cat,0,not sure,,binary
anon22,male,27,english,No,XY,X,catdog,dog,1,not sure,,binary
anon22,male,27,english,No,X,X,ele,ele,1,not sure,,binary
anon22,male,27,english,No,XY,XorY,dogele,dogorele,0,not sure,,binary
anon22,male,27,english,No,XY,XorY,catele,catorele,0,not sure,,binary
anon22,male,27,english,No,X,Z,cat,dog,0,not sure,,binary
anon22,male,27,english,No,XY,Z,dogele,cat,0,not sure,,binary
anon22,male,27,english,No,X,XorY,cat,catorele,1,not sure,,binary
anon22,male,27,english,No,X,X,dog,dog,1,not sure,,binary
anon22,male,27,english,No,XY,Z,catdog,ele,0,not sure,,binary
anon22,male,27,english,No,XY,XandY,catdog,catanddog,1,not sure,,binary
anon22,male,27,english,No,X,X,cat,cat,1,not sure,,binary
anon22,male,27,english,No,XY,X,catele,ele,0,not sure,,binary
anon22,male,27,english,No,X,XorY,cat,catordog,1,not sure,,binary
anon22,male,27,english,No,X,XandY,ele,catandele,0,not sure,,binary
anon22,male,27,english,No,XY,XandY,dogele,dogandele,1,not sure,,binary
anon22,male,27,english,No,XY,XorY,catdog,catordog,0,not sure,,binary
